Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1989,91,Young Einstein,Comedy,"Serious, Yahoo","Wilson, Pee-Wee","Serious, Yahoo",47,No,"Young Einstein: a Serious, Yahoo and Wilson, Pee-Wee film’s, directed by Serious, Yahoo"
1989,90,"Savage Intruder, The",Horror,"Garfield, John David","Wing, Virginia","Wolfe, Donald",24,No,"Savage Intruder, The: a Garfield, John David and Wing, Virginia film’s, directed by Wolfe, Donald"
1989,117,Harry & Son,Drama,"Newman, Paul","Woodward, Joanne","Newman, Paul",57,No,"Harry & Son: a Newman, Paul and Woodward, Joanne film’s, directed by Newman, Paul"
1989,91,Too Beautiful for You,Drama,"Depardieu, G�rard",,"Blier, Bertrand",35,No,
1989,90,American Autobahn,Drama,"Jalenak, Jan",,"Degas, Andre",75,No,
1989,150,Sara Dane,Drama,"Hopkins, Harold",,"Hardy, Rod",75,No,
1989,109,Next of Kin,Mystery,"Swayze, Patrick",,"Irvin, John",63,No,
1989,30,Matt Talbot,Drama,"Ford, Seamus",,"Lennon, Biddy W.",35,No,
1989,55,"Will Rogers, Look Back in Laughter",Comedy,"Williams, Robin",,"Leo, Malcolm",6,No,
1989,118,Harlem Nights,Comedy,"Murphy, Eddie",,"Murphy, Eddie",11,No,
1989,94,"Wrong Arm of the Law, The",Comedy,"Sellers, Peter",,"Owen, Cliff",25,No,
1989,86,Cyborg,Action,"Van Damme, Jean-Claude",,"Pyun, Albert",31,No,
1989,,"Death Valley Days, Deadly Decision",Western,"Caan, James",,,9,No,
1989,90,"Van, The",Comedy,"DeVito, Danny",,,5,No,
1989,116,Back to the Future II,Comedy,"Fox, Michael J.",,,65,No,
1989,90,"Branford Marsalis, Steep",Music,"Marsalis, Branford",,,52,No,
1989,,"Saint, The",Mystery,"Moore, Roger",,,29,No,
1989,,"Best of Eddie Murphy, Saturday Night Live, The",Comedy,"Murphy, Eddie",,,56,No,
1989,,Once upon a Wheel,Action,"Newman, Paul",,,40,No,
1989,61,Exile in Concert,Music,"Pennington, J. P.",,,12,No,
1989,,"Death Valley Days, No Gun Behind His Badge",Western,"Reagan, Ronald",,,1,No,
1989,90,Beartooth,Action,"Taylor, Dub",,,70,No,
1989,103,Blood & Guns,Action,"Welles, Orson",,,43,No,
1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almod�var, Pedro",68,No,"Tie Me Up! Tie Me Down!: a Banderas, Antonio and Abril, Victoria film’s, directed by Almod�var, Pedro"
1990,149,Camille Claudel,Drama,"Depardieu, G�rard","Adjani, Isabelle","Nuytten, Bruno",32,No,"Camille Claudel: a Depardieu, G�rard and Adjani, Isabelle film’s, directed by Nuytten, Bruno"
1990,97,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam",80,No,"Zandalee: a Cage, Nicolas and Anderson, Erika film’s, directed by Pillsbury, Sam"
1990,123,Misery,Horror,"Caan, James","Bates, Kathy","Reiner, Rob",48,Yes,"Misery: a Caan, James and Bates, Kathy film’s, directed by Reiner, Rob"
